"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000146374",55.3855828201712,-3.47801269278706,0.330056416178418,-5.99295331292033,2.06064024982852e-09,1.11503533518499e-07
"ENSG00000145850",78.0576276935663,-3.46387427068674,0.318884226165252,-6.15858079373618,7.33997355057585e-10,4.28948054295653e-08
"ENSG00000080709",147.653669950965,-3.45399476346696,0.307349864338421,-6.35755856822318,2.04985525701707e-10,1.29646689632118e-08
"ENSG00000223922",32.4044975209469,-3.44368332789521,0.370818185861895,-5.24160734829522,1.59183824850319e-07,6.47820523973024e-06
"ENSG00000205716",1.20558430415555,-3.43317878217781,0.340647349473539,-5.67501489492135,1.38676588761145e-08,6.63196386841351e-07
"ENSG00000249173",679.227249366034,-3.40304932777015,0.349679162774082,-5.4422726040432,5.26050903472377e-08,2.30798909901845e-06
"ENSG00000164161",181.448613885095,-3.38962262891597,0.417570083852133,-4.52528258606071,6.03148588026423e-06,0.000186300229832263
"ENSG00000166856",70.1606798074128,-3.38529268028479,0.287881374186867,-6.54885258071966,5.79808306635342e-11,3.96768119903623e-09
"ENSG00000115602",82.0624748259193,-3.36780649265323,0.314611161972374,-5.93687293528779,2.90509639861972e-09,1.5350256196685e-07
"ENSG00000206384",20.6035112290391,-3.36165909592878,0.267032326582298,-6.97166189485684,3.13218593333678e-12,2.56365470510086e-10
"ENSG00000267444",37.9778584495663,-3.35304608069456,0.490447943340361,-3.77827271141921,0.000157919891258987,0.00376687283476538
"ENSG00000279711",2.05620495110507,-3.32882713489874,0.319373492516004,-5.72629594426061,1.02647094332635e-08,5.00725892554188e-07
"ENSG00000150656",702.919737729493,-3.28944137986067,0.383104941223903,-4.67089088995811,2.99896213156167e-06,9.76919436836478e-05
"ENSG00000138315",1057.56365852391,-3.27960133564761,0.185032594949966,-9.61777213430331,6.72723819695622e-22,1.56007857234175e-19
"ENSG00000162840",101.540045003235,-3.25495610663127,0.314056425380252,-5.58802802555755,2.29662586889971e-08,1.06519695062301e-06
"ENSG00000160801",285.523631902031,-3.24349201553294,0.22764741021515,-7.65873863394784,1.87768084177486e-14,2.03962208909521e-12
"ENSG00000253813",5.34192626219416,-3.23556823976767,0.282267279725192,-6.14866959237134,7.81355529155076e-10,4.51488198825934e-08
"ENSG00000125740",1984.23618666433,-3.23527148734728,0.299225196167962,-5.79921580659016,6.66257460746098e-09,3.33356900736318e-07
"ENSG00000099769",2352.38546668457,-3.19165922550318,0.321516426250932,-5.26150170686116,1.42883562619525e-07,5.84741974753856e-06
"ENSG00000120907",574.808960920856,-3.16901797135234,0.305924766584938,-5.45564842619222,4.8794452876108e-08,2.14724986903596e-06
"ENSG00000150625",116.531241785827,-3.14597233910731,0.297373140757066,-5.53504037021271,3.11156677109572e-08,1.40588105637403e-06
"ENSG00000123454",386.136977133618,-3.14314717755725,0.240491676963612,-6.83244924856948,8.34769431614987e-12,6.48722414675264e-10
"ENSG00000239839",1.73350792311148,-3.13660762031448,0.435678616263388,-3.75645615649192,0.000172336446849937,0.00408077064583076
"ENSG00000233929",27.4194210542938,-3.13464011894735,0.31074294705338,-5.26042548816579,1.43722436584096e-07,5.87352391187031e-06
"ENSG00000170345",6005.94728888109,-3.10324166286047,0.24231085511076,-6.61646653067867,3.67886117489713e-11,2.60281655037516e-09
"ENSG00000197580",479.433703079308,-3.09731323660556,0.26932598739419,-5.9307802119656,3.01498571621605e-09,1.58287827102767e-07
"ENSG00000143369",709.510173699585,-3.06874193945498,0.192707027576577,-8.14055387176576,3.93473711223777e-16,5.08730169998175e-14
"ENSG00000130812",194.272779550067,-3.03608088250957,0.196293615959559,-7.82542455596743,5.05946535338094e-15,5.82037707188154e-13
"ENSG00000286081",73.0089421322507,-3.03218426917738,0.303904727059487,-5.04165987808893,4.61511037887307e-07,1.75590527696186e-05
"ENSG00000073754",1050.22098619342,-3.02418351400311,0.347351745890933,-4.38801166838442,1.1439164005303e-05,0.000337628658823185
"ENSG00000274736",23.9611484396388,-3.00106911456042,0.177894273549617,-8.43798445339925,3.22856558454389e-17,4.64722593006762e-15
"ENSG00000163221",11.7925565373381,-2.98815601926922,0.263064273521766,-5.65700541296076,1.54036907221861e-08,7.29490831284083e-07
"ENSG00000133800",421.491386551963,-2.98513151003441,0.250114977784762,-5.93779518199207,2.88880617222748e-09,1.5291832672552e-07
"ENSG00000135409",10.0667261952762,-2.9819503356877,0.386670714045389,-3.8325900614075,0.000126801154982149,0.00309534649004042
"ENSG00000122824",10.1188369199233,-2.9730179162955,0.361952245097077,-4.06964713231834,4.70843970291736e-05,0.00125073280108405
"ENSG00000214264",6.16520914189586,-2.96948729449388,0.323464139802631,-4.54296817999832,5.54676268639438e-06,0.000172789345092158
"ENSG00000156006",583.935309948298,-2.9554687916195,0.317386055483143,-4.5857994277786,4.52252610317952e-06,0.000143327779538943
