"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000253508",11.8050356794181,5.75680317822675,0.493059613541376,8.63344524945468,5.95311570082354e-18,9.05989795719083e-16
"ENSG00000130822",60.2681742499629,5.75842955308183,0.543159071574956,7.84011494226543,4.50134201249097e-15,5.21941323829311e-13
"ENSG00000287591",35.7510398221889,5.78171228981978,0.649483933918534,6.59248376474366,4.3252849709628e-11,3.0380967993157e-09
"ENSG00000169427",53.5993467697155,5.78843502888859,0.491389078426457,8.72716797577424,2.61129093484742e-18,4.1244281684455e-16
"ENSG00000253642",17.3070182987994,5.78990013256259,0.733814297834473,5.84602963613863,5.03444390260504e-09,2.55837305798469e-07
"ENSG00000255501",15.4112266160543,5.79717570235784,0.613599509169953,7.00322545591805,2.50135816941642e-12,2.07052934023648e-10
"ENSG00000287097",89.1328896587832,5.8033526811868,0.478174385881726,8.99954662617836,2.26651701480424e-19,4.13922669828623e-17
"ENSG00000143512",132.524590654435,5.80596737257164,0.421316200439827,10.2202748626245,1.60884039837161e-24,5.46631586516493e-22
"ENSG00000226372",13.4166142661475,5.82834682979427,0.851940052710205,5.08057675657444,3.7629065245719e-07,1.45055578691281e-05
"ENSG00000260518",161.887941645613,5.83712297854866,0.412792322470402,10.5067917750811,8.03816185793784e-26,3.09046170380189e-23
"ENSG00000162009",40.2180593025701,5.83835581573493,0.709974292404469,6.11058155506198,9.92687327302834e-10,5.58888703348532e-08
"ENSG00000182759",68.6995363582311,5.84670122053934,0.486917947253924,8.92696858896551,4.37841680525841e-19,7.70706861744884e-17
"ENSG00000286015",45.5834354445357,5.85843901312978,0.532922752546359,8.17836917696742,2.87711135875958e-16,3.78690062625923e-14
"ENSG00000261761",14.8849056777856,5.8631195151108,0.711961613599776,6.12830724545705,8.8818945303765e-10,5.07884458273192e-08
"ENSG00000167751",16.2715556737107,5.87363415517583,0.740718644409662,5.90458224345295,3.53541469086137e-09,1.83489906335647e-07
"ENSG00000063015",126.53586764722,5.88323927851393,0.481968361977156,9.09445437566229,9.50625764704972e-20,1.82745295030785e-17
"ENSG00000180806",32.5773987623666,5.88856465995218,0.579634639863147,7.57126016655652,3.69620956243811e-14,3.88500875591517e-12
"ENSG00000066032",325.788475572446,5.8967337430632,0.559606300680185,7.85683388074634,3.93964783433204e-15,4.62315300077037e-13
"ENSG00000249628",89.7762653515114,5.91481654305546,0.525022270476142,8.40881766606142,4.14164366722745e-17,5.84632019112976e-15
"ENSG00000147257",29045.6232309273,5.92591868626139,0.306827136707265,14.424795452444,3.61339551796176e-47,2.63958542587107e-43
"ENSG00000250060",15.1276139121594,5.94400229861181,0.675522264004212,6.57861707217409,4.74843918835535e-11,3.31936347090295e-09
"ENSG00000260573",23.5120396461803,5.95623666883216,0.684979325988675,6.50565133830891,7.73574599423856e-11,5.20826032146661e-09
"ENSG00000286042",120.841143884401,5.97048581514235,0.509932068816904,8.76682618826926,1.83773153981095e-18,2.95046788974043e-16
"ENSG00000253227",37.3494445636963,5.97229533583996,0.489606512093871,9.1344686505773,6.57287513602937e-20,1.2719166322833e-17
"ENSG00000168243",482.372044958972,5.98945026062389,0.441426351669862,10.1703268136142,2.69004564824645e-24,8.73368153797347e-22
"ENSG00000081051",14388.1052025139,6.01744327936854,0.444991841729591,10.1517440450373,3.25493835272549e-24,1.04515712820482e-21
"ENSG00000286051",19.507642395581,6.01898945021377,0.745247383364306,6.06374413528763,1.3298866303928e-09,7.38523136000378e-08
"ENSG00000286769",14.8011550693788,6.02713771878066,0.817379237608068,5.53860131317823,3.04896848298098e-08,1.38339843280596e-06
"ENSG00000250102",19.7060413676129,6.0351745184363,0.662685513295721,6.84363008915286,7.72111429494179e-12,6.01629225861865e-10
"ENSG00000164651",18.9681430833005,6.03903199761687,0.703990224174606,6.44757816479435,1.13651561517371e-10,7.39621075175407e-09
"ENSG00000171658",239.560389293109,6.0393075867122,0.353252760230866,12.8500272262432,8.59799789018858e-38,1.39574165750728e-34
"ENSG00000011677",38.183597464999,6.04324011988878,0.693490265132387,6.55126733325014,5.70508218769743e-11,3.93166277180469e-09
"ENSG00000236279",30.8045492372338,6.05503762134709,0.633731301949419,7.18764815204069,6.59168611141656e-13,5.8190050808336e-11
"ENSG00000187172",16.3989086471078,6.06058486710224,0.718605185979288,6.34644023739857,2.20354089480215e-10,1.38467666550793e-08
"ENSG00000154342",26.1321662038613,6.09946035723462,0.593135597934627,7.75448375253572,8.87035798626385e-15,9.93072261910458e-13
"ENSG00000132429",35.2489589139001,6.12964302218435,0.643141669698338,7.19848089512823,6.08870750762112e-13,5.39127373856634e-11
"ENSG00000144045",93.9734361986609,6.13018879974415,0.511668325922917,9.04919957941991,1.44020133238566e-19,2.69760788027621e-17
